id,text,label
49,คนเห็นต่าง มันคือเชื้อชั่ว อย่าให้มีที่ยืน,hate
50,อย่ามาเสือก สันดานเสีย จริงๆ,offensive
51,พวกต่างด้าว ไม่มีความเป็นคน ในสังคมไทย,hate
52,หนังเรื่องนี้ สู้ๆ นะครับทุกคน,neutral
53,พวกหน้าโง่ มันคือเชื้อชั่ว บนโลกใบนี้,hate
54,พวกหน้าโง่ ต้องถูกกำจัด บนโลกใบนี้,hate
55,พวกเพศทางเลือก ไม่ควรมีสิทธิในประเทศนี้ ในประเทศเรา,hate
56,หน้าด้าน ทำตัวน่าสมเพช จริงๆ,offensive
57,อากาศตอนเช้า ขอบคุณสำหรับข้อมูล,neutral
58,วันนี้ไปกินข้าว รบกวนสอบถามหน่อยค่ะ,neutral
59,ปลูกต้นไม้ มีความสุขมากๆ นะ,neutral
60,หนังเรื่องนี้ สู้ๆ นะครับทุกคน,neutral
61,ไอ้พวกขยะสังคม ตัวถ่วงความเจริญ บนโลกใบนี้,hate
62,น่ารำคาญฉิบหาย แต่งตัวอุบาทว์ นะมึง,offensive
63,ปลูกต้นไม้ รบกวนสอบถามหน่อยค่ะ,neutral
64,กลุ่มการเมือง ไม่มีความเป็นคน ในสังคมไทย,hate
65,หนังเรื่องนี้ ดีมากเลยครับ,neutral
66,ไอ้พวกขยะสังคม ตัวถ่วงความเจริญ ในสังคมไทย,hate
67,อีปลวก แต่งตัวอุบาทว์ นะมึง,offensive
68,พวกต่างด้าว ไล่ออกไปให้หมด อย่าให้มีที่ยืน,hate
69,ไอ้สารเลว พูดอะไรไม่รู้เรื่อง ว่ะ,offensive
70,คนเห็นต่าง ตัวถ่วงความเจริญ ในประเทศเรา,hate
71,กลุ่มการเมือง ต้องถูกกำจัด ไปตายซะให้หมด,hate
72,ไปไกลๆ ตีน ทำตัวน่าสมเพช จริงๆ,offensive
73,ไอ้พวกขยะสังคม มันคือเชื้อชั่ว ในประเทศเรา,hate
74,วันนี้ไปกินข้าว ขอบคุณสำหรับข้อมูล,neutral
75,หน้าด้าน ทำตัวน่าสมเพช ว่ะ,offensive
76,ปลูกต้นไม้ น่าสนใจจริงๆ,neutral
77,วันนี้ไปกินข้าว รบกวนสอบถามหน่อยค่ะ,neutral
78,น่ารำคาญฉิบหาย ขับรถหมาไม่รับทาน ว่ะ,offensive
79,ไปไกลๆ ตีน วันๆ ดีแต่ปาก ว่ะ,offensive
80,พวกไร้การศึกษา ไม่มีความเป็นคน อย่าให้มีที่ยืน,hate
81,พวกต่างด้าว ไม่ควรมีสิทธิในประเทศนี้ บนโลกใบนี้,hate
82,หน้าด้าน วันๆ ดีแต่ปาก จริงๆ,offensive
83,เทคโนโลยี AI มีความสุขมากๆ นะ,neutral
84,ปัญญาอ่อน ขับรถหมาไม่รับทาน !!!,offensive
85,ปัญญาอ่อน ทำตัวน่าสมเพช นะมึง,offensive
86,น่ารำคาญฉิบหาย แต่งตัวอุบาทว์ นะมึง,offensive
87,โคตรห่วยแตก แต่งตัวอุบาทว์ จริงๆ,offensive
88,คนเห็นต่าง มันคือเชื้อชั่ว ไปตายซะให้หมด,hate
89,พวกไร้การศึกษา ไม่ควรมีสิทธิในประเทศนี้ ในสังคมไทย,hate
90,กลุ่มการเมือง ต้องถูกกำจัด อย่าให้มีที่ยืน,hate
91,หน้าส้นตีน สันดานเสีย ว่ะ,offensive
92,อากาศตอนเช้า สู้ๆ นะครับทุกคน,neutral
93,ไอ้พวกขยะสังคม ไล่ออกไปให้หมด ในประเทศเรา,hate
94,พวกไร้การศึกษา ต้องถูกกำจัด ไปตายซะให้หมด,hate
95,หนังเรื่องนี้ สู้ๆ นะครับทุกคน,neutral
96,กลุ่มการเมือง ไล่ออกไปให้หมด ในสังคมไทย,hate
97,อีปลวก วันๆ ดีแต่ปาก !!!,offensive
98,มึงมันโง่ สันดานเสีย ว่ะ,offensive
99,ไอ้สารเลว วันๆ ดีแต่ปาก นะมึง,offensive
100,น่ารำคาญฉิบหาย ทำตัวน่าสมเพช จริงๆ,offensive
101,เทคโนโลยี AI ขอบคุณสำหรับข้อมูล,neutral
102,หน้าด้าน ทำตัวน่าสมเพช นะมึง,offensive
103,ไอ้สัด พูดอะไรไม่รู้เรื่อง !!!,offensive
104,วันนี้ไปกินข้าว ขอบคุณสำหรับข้อมูล,neutral
105,การเรียนรู้ภาษาไทย ขอบคุณสำหรับข้อมูล,neutral
106,พวกเพศทางเลือก ไม่ควรมีสิทธิในประเทศนี้ ในประเทศเรา,hate
107,กระจอก สันดานเสีย !!!,offensive
108,พวกต่างด้าว มันคือเชื้อชั่ว ในสังคมไทย,hate
109,อากาศตอนเช้า สู้ๆ นะครับทุกคน,neutral
110,วันนี้ไปกินข้าว รบกวนสอบถามหน่อยค่ะ,neutral
111,อีปลวก วันๆ ดีแต่ปาก !!!,offensive
112,กระจอก ทำตัวน่าสมเพช จริงๆ,offensive
113,มึงมันโง่ ขับรถหมาไม่รับทาน !!!,offensive
114,ปลูกต้นไม้ ดีมากเลยครับ,neutral
115,หน้าด้าน ขับรถหมาไม่รับทาน !!!,offensive
116,การเรียนรู้ภาษาไทย ขอบคุณสำหรับข้อมูล,neutral
117,หน้าส้นตีน พูดอะไรไม่รู้เรื่อง นะมึง,offensive
118,การเรียนรู้ภาษาไทย รบกวนสอบถามหน่อยค่ะ,neutral
119,การทำงานวันจันทร์ สู้ๆ นะครับทุกคน,neutral
120,มึงมันโง่ สันดานเสีย !!!,offensive
121,ไปไกลๆ ตีน แต่งตัวอุบาทว์ !!!,offensive
122,ไอ้พวกขยะสังคม มันคือเชื้อชั่ว อย่าให้มีที่ยืน,hate
123,หน้าส้นตีน วันๆ ดีแต่ปาก นะมึง,offensive
124,ไอ้สัด พูดอะไรไม่รู้เรื่อง !!!,offensive
125,ปลูกต้นไม้ น่าสนใจจริงๆ,neutral
126,คนเห็นต่าง ไล่ออกไปให้หมด ในสังคมไทย,hate
127,พวกเพศทางเลือก ต้องถูกกำจัด ไปตายซะให้หมด,hate
128,เทคโนโลยี AI สู้ๆ นะครับทุกคน,neutral
129,พวกเพศทางเลือก มันคือเชื้อชั่ว อย่าให้มีที่ยืน,hate
130,หนังเรื่องนี้ มีความสุขมากๆ นะ,neutral
131,เทคโนโลยี AI ดีมากเลยครับ,neutral
132,การทำงานวันจันทร์ ขอบคุณสำหรับข้อมูล,neutral
133,ปัญญาอ่อน วันๆ ดีแต่ปาก จริงๆ,offensive
134,การเรียนรู้ภาษาไทย น่าสนใจจริงๆ,neutral
135,ไอ้พวกขยะสังคม ไล่ออกไปให้หมด ไปตายซะให้หมด,hate
136,การทำงานวันจันทร์ สู้ๆ นะครับทุกคน,neutral
137,ไอ้สัด สันดานเสีย นะมึง,offensive
138,การเรียนรู้ภาษาไทย รบกวนสอบถามหน่อยค่ะ,neutral
139,พวกไร้การศึกษา ตัวถ่วงความเจริญ บนโลกใบนี้,hate
140,ไปไกลๆ ตีน แต่งตัวอุบาทว์ !!!,offensive
141,การเรียนรู้ภาษาไทย มีความสุขมากๆ นะ,neutral
142,อีปลวก พูดอะไรไม่รู้เรื่อง !!!,offensive
143,อากาศตอนเช้า น่าสนใจจริงๆ,neutral
144,ไอ้สารเลว ทำตัวน่าสมเพช นะมึง,offensive
145,อย่ามาเสือก ทำตัวน่าสมเพช ว่ะ,offensive
146,พวกต่างด้าว มันคือเชื้อชั่ว ไปตายซะให้หมด,hate
147,พวกเพศทางเลือก ไม่ควรมีสิทธิในประเทศนี้ ในสังคมไทย,hate
148,พวกหน้าโง่ มันคือเชื้อชั่ว บนโลกใบนี้,hate
149,พวกต่างด้าว ตัวถ่วงความเจริญ บนโลกใบนี้,hate
150,ไอ้สัด ทำตัวน่าสมเพช ว่ะ,offensive
151,น่ารำคาญฉิบหาย พูดอะไรไม่รู้เรื่อง จริงๆ,offensive
152,ออกกำลังกาย มีความสุขมากๆ นะ,neutral
153,กระจอก ขับรถหมาไม่รับทาน นะมึง,offensive
154,ปัญญาอ่อน วันๆ ดีแต่ปาก จริงๆ,offensive
155,อย่ามาเสือก วันๆ ดีแต่ปาก จริงๆ,offensive
156,โคตรห่วยแตก ทำตัวน่าสมเพช นะมึง,offensive
157,พวกไร้การศึกษา ไล่ออกไปให้หมด ในสังคมไทย,hate
158,หน้าส้นตีน ทำตัวน่าสมเพช นะมึง,offensive
159,กระจอก ทำตัวน่าสมเพช นะมึง,offensive
160,เทคโนโลยี AI น่าสนใจจริงๆ,neutral
161,ปัญญาอ่อน สันดานเสีย นะมึง,offensive
162,การทำงานวันจันทร์ สู้ๆ นะครับทุกคน,neutral
163,วันนี้ไปกินข้าว รบกวนสอบถามหน่อยค่ะ,neutral
164,คนเห็นต่าง ไม่ควรมีสิทธิในประเทศนี้ ไปตายซะให้หมด,hate
165,คนเห็นต่าง ต้องถูกกำจัด ในประเทศเรา,hate
166,อย่ามาเสือก แต่งตัวอุบาทว์ นะมึง,offensive
167,วันนี้ไปกินข้าว สู้ๆ นะครับทุกคน,neutral
168,กลุ่มการเมือง ไม่ควรมีสิทธิในประเทศนี้ อย่าให้มีที่ยืน,hate
169,ไปไกลๆ ตีน แต่งตัวอุบาทว์ นะมึง,offensive
170,ไอ้พวกขยะสังคม ไม่มีความเป็นคน ในสังคมไทย,hate
171,มึงมันโง่ ทำตัวน่าสมเพช จริงๆ,offensive
172,พวกต่างด้าว ตัวถ่วงความเจริญ ไปตายซะให้หมด,hate
173,ออกกำลังกาย สู้ๆ นะครับทุกคน,neutral
174,การเรียนรู้ภาษาไทย น่าสนใจจริงๆ,neutral
175,การทำงานวันจันทร์ รบกวนสอบถามหน่อยค่ะ,neutral
176,อีปลวก แต่งตัวอุบาทว์ ว่ะ,offensive
177,มึงมันโง่ ทำตัวน่าสมเพช !!!,offensive
178,ออกกำลังกาย ดีมากเลยครับ,neutral
179,หน้าส้นตีน ขับรถหมาไม่รับทาน ว่ะ,offensive
180,ไอ้พวกขยะสังคม ไม่มีความเป็นคน ในประเทศเรา,hate
181,น่ารำคาญฉิบหาย ขับรถหมาไม่รับทาน จริงๆ,offensive
182,การเรียนรู้ภาษาไทย ขอบคุณสำหรับข้อมูล,neutral
183,พวกไร้การศึกษา ไล่ออกไปให้หมด ไปตายซะให้หมด,hate
184,พวกต่างด้าว มันคือเชื้อชั่ว บนโลกใบนี้,hate
185,มึงมันโง่ ขับรถหมาไม่รับทาน จริงๆ,offensive
186,การเรียนรู้ภาษาไทย สู้ๆ นะครับทุกคน,neutral
187,การทำงานวันจันทร์ สู้ๆ นะครับทุกคน,neutral
188,พวกไร้การศึกษา มันคือเชื้อชั่ว อย่าให้มีที่ยืน,hate
189,การทำงานวันจันทร์ รบกวนสอบถามหน่อยค่ะ,neutral
190,พวกเพศทางเลือก ไม่มีความเป็นคน ไปตายซะให้หมด,hate
191,ไปไกลๆ ตีน วันๆ ดีแต่ปาก !!!,offensive
192,ปัญญาอ่อน ขับรถหมาไม่รับทาน นะมึง,offensive
193,ไอ้สารเลว พูดอะไรไม่รู้เรื่อง ว่ะ,offensive
194,เทคโนโลยี AI มีความสุขมากๆ นะ,neutral
195,การเรียนรู้ภาษาไทย มีความสุขมากๆ นะ,neutral
196,การเรียนรู้ภาษาไทย มีความสุขมากๆ นะ,neutral
197,พวกหน้าโง่ ไม่มีความเป็นคน ในสังคมไทย,hate
198,พวกหน้าโง่ ตัวถ่วงความเจริญ ในสังคมไทย,hate
199,พวกต่างด้าว ไม่มีความเป็นคน บนโลกใบนี้,hate
200,หนังเรื่องนี้ น่าสนใจจริงๆ,neutral
201,อย่ามาเสือก วันๆ ดีแต่ปาก นะมึง,offensive
202,หนังเรื่องนี้ ขอบคุณสำหรับข้อมูล,neutral
203,คนเห็นต่าง ต้องถูกกำจัด อย่าให้มีที่ยืน,hate
204,คนเห็นต่าง ตัวถ่วงความเจริญ ในสังคมไทย,hate
205,อากาศตอนเช้า มีความสุขมากๆ นะ,neutral
206,วันนี้ไปกินข้าว ดีมากเลยครับ,neutral
207,ปัญญาอ่อน แต่งตัวอุบาทว์ นะมึง,offensive
208,พวกเพศทางเลือก ไม่ควรมีสิทธิในประเทศนี้ ในประเทศเรา,hate
209,คนเห็นต่าง ต้องถูกกำจัด ในประเทศเรา,hate
210,อากาศตอนเช้า ขอบคุณสำหรับข้อมูล,neutral
211,เทคโนโลยี AI สู้ๆ นะครับทุกคน,neutral
212,ปัญญาอ่อน วันๆ ดีแต่ปาก !!!,offensive
213,อากาศตอนเช้า มีความสุขมากๆ นะ,neutral
214,ปัญญาอ่อน วันๆ ดีแต่ปาก !!!,offensive
215,ไอ้สารเลว ทำตัวน่าสมเพช จริงๆ,offensive
216,อากาศตอนเช้า ขอบคุณสำหรับข้อมูล,neutral
217,อย่ามาเสือก สันดานเสีย จริงๆ,offensive
218,น่ารำคาญฉิบหาย สันดานเสีย !!!,offensive
219,พวกหน้าโง่ ตัวถ่วงความเจริญ บนโลกใบนี้,hate
220,อย่ามาเสือก ขับรถหมาไม่รับทาน จริงๆ,offensive
221,ไอ้พวกขยะสังคม ไม่มีความเป็นคน บนโลกใบนี้,hate
222,คนเห็นต่าง ไล่ออกไปให้หมด ไปตายซะให้หมด,hate
223,ออกกำลังกาย มีความสุขมากๆ นะ,neutral
224,อากาศตอนเช้า รบกวนสอบถามหน่อยค่ะ,neutral
225,หนังเรื่องนี้ ขอบคุณสำหรับข้อมูล,neutral
226,หน้าส้นตีน ขับรถหมาไม่รับทาน !!!,offensive
227,ออกกำลังกาย มีความสุขมากๆ นะ,neutral
228,กลุ่มการเมือง ตัวถ่วงความเจริญ อย่าให้มีที่ยืน,hate
229,พวกเพศทางเลือก มันคือเชื้อชั่ว อย่าให้มีที่ยืน,hate
230,ไอ้พวกขยะสังคม ตัวถ่วงความเจริญ ในประเทศเรา,hate
231,โคตรห่วยแตก ทำตัวน่าสมเพช จริงๆ,offensive
232,พวกต่างด้าว ไล่ออกไปให้หมด บนโลกใบนี้,hate
233,หนังเรื่องนี้ น่าสนใจจริงๆ,neutral
234,เทคโนโลยี AI ดีมากเลยครับ,neutral
235,กลุ่มการเมือง ไม่มีความเป็นคน ในประเทศเรา,hate
236,พวกหน้าโง่ ตัวถ่วงความเจริญ บนโลกใบนี้,hate
237,อีปลวก พูดอะไรไม่รู้เรื่อง ว่ะ,offensive
238,การเรียนรู้ภาษาไทย ดีมากเลยครับ,neutral
239,น่ารำคาญฉิบหาย พูดอะไรไม่รู้เรื่อง !!!,offensive
240,การเรียนรู้ภาษาไทย มีความสุขมากๆ นะ,neutral
241,ปลูกต้นไม้ ขอบคุณสำหรับข้อมูล,neutral
242,ปัญญาอ่อน วันๆ ดีแต่ปาก ว่ะ,offensive
243,หน้าส้นตีน ทำตัวน่าสมเพช !!!,offensive
244,พวกเพศทางเลือก มันคือเชื้อชั่ว ในสังคมไทย,hate
245,ออกกำลังกาย มีความสุขมากๆ นะ,neutral
246,เทคโนโลยี AI น่าสนใจจริงๆ,neutral
247,พวกต่างด้าว ไม่มีความเป็นคน ในสังคมไทย,hate
248,ไอ้พวกขยะสังคม ไม่ควรมีสิทธิในประเทศนี้ อย่าให้มีที่ยืน,hate
249,วันนี้ไปกินข้าว รบกวนสอบถามหน่อยค่ะ,neutral
250,พวกต่างด้าว ไล่ออกไปให้หมด ในสังคมไทย,hate
251,หนังเรื่องนี้ ขอบคุณสำหรับข้อมูล,neutral
252,คนเห็นต่าง ตัวถ่วงความเจริญ ไปตายซะให้หมด,hate
253,คนเห็นต่าง ไล่ออกไปให้หมด ในสังคมไทย,hate
254,กระจอก ทำตัวน่าสมเพช ว่ะ,offensive
255,เทคโนโลยี AI ขอบคุณสำหรับข้อมูล,neutral
256,กลุ่มการเมือง ตัวถ่วงความเจริญ ในสังคมไทย,hate
257,วันนี้ไปกินข้าว มีความสุขมากๆ นะ,neutral
258,อากาศตอนเช้า น่าสนใจจริงๆ,neutral
259,พวกต่างด้าว ตัวถ่วงความเจริญ ไปตายซะให้หมด,hate
260,เทคโนโลยี AI ดีมากเลยครับ,neutral
261,ไอ้สัด แต่งตัวอุบาทว์ จริงๆ,offensive
262,พวกหน้าโง่ ไล่ออกไปให้หมด ในประเทศเรา,hate
263,พวกหน้าโง่ ไล่ออกไปให้หมด ในสังคมไทย,hate
264,คนเห็นต่าง มันคือเชื้อชั่ว อย่าให้มีที่ยืน,hate
265,พวกไร้การศึกษา มันคือเชื้อชั่ว ไปตายซะให้หมด,hate
266,หน้าส้นตีน แต่งตัวอุบาทว์ จริงๆ,offensive
267,การทำงานวันจันทร์ รบกวนสอบถามหน่อยค่ะ,neutral
268,น่ารำคาญฉิบหาย วันๆ ดีแต่ปาก !!!,offensive
269,พวกไร้การศึกษา ไม่มีความเป็นคน อย่าให้มีที่ยืน,hate
270,ปลูกต้นไม้ ขอบคุณสำหรับข้อมูล,neutral
271,ไอ้พวกขยะสังคม ตัวถ่วงความเจริญ ในสังคมไทย,hate
272,การเรียนรู้ภาษาไทย รบกวนสอบถามหน่อยค่ะ,neutral
273,การทำงานวันจันทร์ น่าสนใจจริงๆ,neutral
274,คนเห็นต่าง ตัวถ่วงความเจริญ ในประเทศเรา,hate
275,มึงมันโง่ ทำตัวน่าสมเพช !!!,offensive
276,วันนี้ไปกินข้าว ขอบคุณสำหรับข้อมูล,neutral
277,การทำงานวันจันทร์ สู้ๆ นะครับทุกคน,neutral
278,กลุ่มการเมือง ไม่ควรมีสิทธิในประเทศนี้ ในสังคมไทย,hate
279,พวกต่างด้าว มันคือเชื้อชั่ว บนโลกใบนี้,hate
280,คนเห็นต่าง ไม่มีความเป็นคน บนโลกใบนี้,hate
281,คนเห็นต่าง ไม่มีความเป็นคน ในสังคมไทย,hate
282,หน้าด้าน วันๆ ดีแต่ปาก !!!,offensive
283,อย่ามาเสือก แต่งตัวอุบาทว์ !!!,offensive
284,ออกกำลังกาย น่าสนใจจริงๆ,neutral
285,การทำงานวันจันทร์ มีความสุขมากๆ นะ,neutral
286,วันนี้ไปกินข้าว ขอบคุณสำหรับข้อมูล,neutral
287,หนังเรื่องนี้ รบกวนสอบถามหน่อยค่ะ,neutral
288,กลุ่มการเมือง ไม่มีความเป็นคน บนโลกใบนี้,hate
289,คนเห็นต่าง ไม่ควรมีสิทธิในประเทศนี้ ในประเทศเรา,hate
290,อย่ามาเสือก ขับรถหมาไม่รับทาน !!!,offensive
291,ออกกำลังกาย มีความสุขมากๆ นะ,neutral
292,โคตรห่วยแตก วันๆ ดีแต่ปาก นะมึง,offensive
293,พวกหน้าโง่ ต้องถูกกำจัด อย่าให้มีที่ยืน,hate
294,เทคโนโลยี AI ขอบคุณสำหรับข้อมูล,neutral
295,เทคโนโลยี AI ดีมากเลยครับ,neutral
296,พวกหน้าโง่ ตัวถ่วงความเจริญ ในสังคมไทย,hate
297,น่ารำคาญฉิบหาย วันๆ ดีแต่ปาก ว่ะ,offensive
298,พวกหน้าโง่ ไม่ควรมีสิทธิในประเทศนี้ ไปตายซะให้หมด,hate
299,คนเห็นต่าง มันคือเชื้อชั่ว ในประเทศเรา,hate
300,การเรียนรู้ภาษาไทย สู้ๆ นะครับทุกคน,neutral
301,ไอ้สารเลว ขับรถหมาไม่รับทาน !!!,offensive
302,การเรียนรู้ภาษาไทย มีความสุขมากๆ นะ,neutral
303,พวกต่างด้าว ตัวถ่วงความเจริญ ไปตายซะให้หมด,hate
304,ปลูกต้นไม้ สู้ๆ นะครับทุกคน,neutral
305,ปัญญาอ่อน ทำตัวน่าสมเพช จริงๆ,offensive
306,ปัญญาอ่อน สันดานเสีย นะมึง,offensive
307,หนังเรื่องนี้ มีความสุขมากๆ นะ,neutral
308,พวกหน้าโง่ มันคือเชื้อชั่ว ในสังคมไทย,hate
309,พวกต่างด้าว ต้องถูกกำจัด อย่าให้มีที่ยืน,hate
310,อย่ามาเสือก สันดานเสีย ว่ะ,offensive
311,ปลูกต้นไม้ ขอบคุณสำหรับข้อมูล,neutral
312,คนเห็นต่าง ตัวถ่วงความเจริญ บนโลกใบนี้,hate
313,หนังเรื่องนี้ มีความสุขมากๆ นะ,neutral
314,คนเห็นต่าง ไม่ควรมีสิทธิในประเทศนี้ อย่าให้มีที่ยืน,hate
315,ออกกำลังกาย ดีมากเลยครับ,neutral
316,น่ารำคาญฉิบหาย ทำตัวน่าสมเพช !!!,offensive
317,วันนี้ไปกินข้าว น่าสนใจจริงๆ,neutral
318,พวกเพศทางเลือก ตัวถ่วงความเจริญ ไปตายซะให้หมด,hate
319,การทำงานวันจันทร์ สู้ๆ นะครับทุกคน,neutral
320,น่ารำคาญฉิบหาย ขับรถหมาไม่รับทาน ว่ะ,offensive
321,การเรียนรู้ภาษาไทย ขอบคุณสำหรับข้อมูล,neutral
322,กลุ่มการเมือง ตัวถ่วงความเจริญ ไปตายซะให้หมด,hate
323,พวกหน้าโง่ ต้องถูกกำจัด บนโลกใบนี้,hate
324,กลุ่มการเมือง มันคือเชื้อชั่ว ไปตายซะให้หมด,hate
325,คนเห็นต่าง ไม่มีความเป็นคน บนโลกใบนี้,hate
326,ไอ้พวกขยะสังคม ไม่ควรมีสิทธิในประเทศนี้ ไปตายซะให้หมด,hate
327,อย่ามาเสือก พูดอะไรไม่รู้เรื่อง นะมึง,offensive
328,การทำงานวันจันทร์ สู้ๆ นะครับทุกคน,neutral
329,พวกต่างด้าว มันคือเชื้อชั่ว ในสังคมไทย,hate
330,ออกกำลังกาย ดีมากเลยครับ,neutral
331,พวกหน้าโง่ ไม่มีความเป็นคน ในสังคมไทย,hate
332,ปัญญาอ่อน วันๆ ดีแต่ปาก ว่ะ,offensive
333,ออกกำลังกาย สู้ๆ นะครับทุกคน,neutral
334,พวกเพศทางเลือก ตัวถ่วงความเจริญ ในประเทศเรา,hate
335,หน้าด้าน สันดานเสีย ว่ะ,offensive
336,ปลูกต้นไม้ มีความสุขมากๆ นะ,neutral
337,น่ารำคาญฉิบหาย พูดอะไรไม่รู้เรื่อง !!!,offensive
338,พวกหน้าโง่ ไม่ควรมีสิทธิในประเทศนี้ ในสังคมไทย,hate
339,เทคโนโลยี AI น่าสนใจจริงๆ,neutral
340,อากาศตอนเช้า น่าสนใจจริงๆ,neutral
341,เทคโนโลยี AI น่าสนใจจริงๆ,neutral
342,น่ารำคาญฉิบหาย ขับรถหมาไม่รับทาน นะมึง,offensive
343,การเรียนรู้ภาษาไทย สู้ๆ นะครับทุกคน,neutral
344,อากาศตอนเช้า น่าสนใจจริงๆ,neutral
345,อย่ามาเสือก ขับรถหมาไม่รับทาน จริงๆ,offensive
346,พวกเพศทางเลือก ไม่ควรมีสิทธิในประเทศนี้ ในสังคมไทย,hate
347,วันนี้ไปกินข้าว รบกวนสอบถามหน่อยค่ะ,neutral
348,ไอ้สัด สันดานเสีย จริงๆ,offensive
349,ปลูกต้นไม้ ดีมากเลยครับ,neutral
350,ไปไกลๆ ตีน ขับรถหมาไม่รับทาน นะมึง,offensive
351,พวกหน้าโง่ มันคือเชื้อชั่ว บนโลกใบนี้,hate
352,การทำงานวันจันทร์ มีความสุขมากๆ นะ,neutral
353,อากาศตอนเช้า น่าสนใจจริงๆ,neutral
354,ปลูกต้นไม้ น่าสนใจจริงๆ,neutral
355,พวกเพศทางเลือก ไม่มีความเป็นคน ในประเทศเรา,hate
356,หน้าส้นตีน พูดอะไรไม่รู้เรื่อง ว่ะ,offensive
357,พวกไร้การศึกษา ตัวถ่วงความเจริญ ในประเทศเรา,hate
358,ปลูกต้นไม้ รบกวนสอบถามหน่อยค่ะ,neutral
359,เทคโนโลยี AI ขอบคุณสำหรับข้อมูล,neutral
360,กลุ่มการเมือง ตัวถ่วงความเจริญ อย่าให้มีที่ยืน,hate
361,อีปลวก สันดานเสีย นะมึง,offensive
362,ไอ้สารเลว พูดอะไรไม่รู้เรื่อง !!!,offensive
363,ไอ้พวกขยะสังคม ไล่ออกไปให้หมด อย่าให้มีที่ยืน,hate
364,พวกไร้การศึกษา ไล่ออกไปให้หมด ไปตายซะให้หมด,hate
365,ไอ้พวกขยะสังคม ไม่มีความเป็นคน บนโลกใบนี้,hate
