id,text,label,category
70,"ไอ้พวก [Target] มันพวกล้างสมองและอันตราย",hate,Hate Speech
71,"หยุดพล่ามซักที รำคาญจนจะบ้าตายแล้ว",offensive,Aggressive
72,"การดื่มน้ำมากๆ ช่วยให้ผิวพรรณสดใส",neutral,Health
73,"พวกกลุ่มนี้ไม่ควรมีตัวตนอยู่บนโลกใบนี้",hate,Violence
74,"โง่ซ้ำซ้อนจริงๆ มึงเนี่ยเกินเยียวยา",offensive,Insult
75,"ขอแสดงความเสียใจกับเหตุการณ์ที่เกิดขึ้นด้วยครับ",neutral,Sympathy
76,"ไอ้พวก [Target] มันคือเสนียดจัญไรของสังคม",hate,Dehumanization
77,"อีเหี้ยเอ๊ย ทำของพังหมดเลย",offensive,Profanity
78,"การไปเดินห้างวันหยุดคนเยอะมากจริงๆ",neutral,General
79,"ถ้าเจอพวก [Target] ที่ไหน ให้จัดการมันได้เลย",hate,Violence
80,"อย่ามาสะเออะสอนกู กูรู้ดีกว่ามึงเยอะ",offensive,Aggressive
81,"ลองใช้แอปพลิเคชันนี้ดูครับ ช่วยจัดการงานได้ดี",neutral,Technology
82,"พวก [Target] มันพวกไร้ค่าที่ไม่มีใครต้องการ",hate,Dehumanization
83,"ไอ้หน้าตัวเมีย รังแกได้แม้กระทั่งคนไม่มีทางสู้",offensive,Insult
84,"อยากกินชาบูจังเลย เย็นนี้มีใครว่างบ้าง",neutral,Social
85,"พวกกลุ่มนี้มันคือเนื้อร้ายที่ต้องตัดทิ้ง",hate,Violence
86,"สันดานหมาๆ แบบมึง ตายไปก็ไม่มีใครเสียดาย",offensive,Aggressive
87,"สุนัขที่บ้านฉลาดมาก สอนอะไรก็จำได้หมด",neutral,Pets
88,"อย่าปล่อยให้พวก [Target] มาทำลายวัฒนธรรมเรา",hate,Cultural Bias
89,"อีแก่หนังเหี่ยว อยู่ไปก็รกโลก",offensive,Ageism
90,"ยินดีที่ได้รู้จักทุกคนนะครับ ฝากเนื้อฝากตัวด้วย",neutral,Greeting
91,"พวก [Target] มันพวกทรยศชาติ ต้องประหาร",hate,Political Bias
92,"ไอ้กระจอก มีปัญญาทำได้แค่นี้เหรอวะ",offensive,Insult
93,"ชอบฟังเพลงแนวคลาสสิกเพราะช่วยให้มีสมาธิ",neutral,Music
94,"ต้องใช้มาตรการรุนแรงกับพวกกลุ่ม [Target]",hate,Violence
95,"หุบปากไปเลยมึง ก่อนที่กูจะหมดความอดทน",offensive,Aggressive
96,"การเขียนโปรแกรมต้องอาศัยการฝึกฝนบ่อยๆ",neutral,Education
97,"พวก [Target] มันเป็นพวกวิกลจริตที่น่ารำคาญ",hate,Disability
98,"แม่งโคตรซวยเลยวันนี้ เจอแต่เรื่องแย่ๆ",offensive,Profanity
99,"ขอให้เดินทางกลับโดยสวัสดิภาพนะครับ",neutral,Greeting
100,"ไม่เหลือความเป็นคนแล้วสำหรับพวกกลุ่ม [Target]",hate,Dehumanization
